,id,mean_price,nr_items,nr_cats
0,17434,75172.72727272728,11,1
1,86705,23650.0,4,3
2,159107,24990.0,1,1
3,201072,109900.0,1,1
4,531347,15333.333333333334,6,1
5,604018,12500.0,1,2
6,620021,150000.0,2,1
7,741076,34040.0,5,5
8,754893,579999.0,2,1
9,1057418,87000.0,1,2
10,1135555,55052.45714285714,32,13
11,1194685,139900.0,1,1
12,1294164,1533471.4285714286,7,1
13,1410027,136000.0,2,2
14,1476510,1277787.5,7,4
15,1702402,58925.0,5,3
16,1707703,120000.0,3,2
17,1790771,33990.0,2,1
18,1822185,137900.0,2,1
19,1829530,400000.0,1,1
20,1841943,36250.0,4,1
21,1853507,60000.0,1,1
22,1945096,149711.0,2,1
23,1987847,51000.0,2,1
24,1995575,29900.0,2,2
25,2012083,67500.0,2,1
26,2055608,7400.0,1,1
27,2072165,135000.0,1,1
28,2081894,98900.0,1,1
29,2088211,24565.17391304348,23,2
30,2201357,45876.2,5,2
31,2257768,31108.75,8,3
32,2378851,49000.0,1,1
33,2394274,1944900.0,2,2
34,2395534,150000.0,1,1
35,2521127,,1,1
36,2686524,8600000.0,1,1
37,2747194,31883.5,23,9
38,3131231,23133.333333333332,6,3
39,3140696,30861.956521739132,45,3
40,3166102,,1,1
41,3175590,36349.0,2,1
42,3188115,25900.0,2,2
43,3637758,546566.6666666666,3,2
44,3639414,90000.0,1,1
45,3877113,289000.0,1,1
46,4014198,13500.0,1,1
47,4138323,480000.0,1,1
48,4223996,31000.0,1,1
49,4256545,110000.0,1,1
50,4318461,,1,1
51,4568306,,1,1
52,4749178,24990.0,1,1
53,4848000,99990.0,1,1
54,4866765,157000.0,2,1
55,4884368,430000.0,2,1
56,4946180,1034733.3333333334,18,1
57,5162681,97169.69696969698,25,5
58,5196661,6900.0,1,1
59,5329553,69864.8947368421,18,12
60,5417795,33687.5,8,1
61,5472387,460000.0,1,1
62,5503306,70000.0,2,1
63,5543359,3699000.0,1,1
64,5975309,177133.33333333334,3,1
65,6508574,37000.0,2,1
66,6545521,4850000.0,2,1
67,6554080,,1,1
68,6709439,32725.222222222223,9,2
69,6717112,6000.0,1,1
70,7245569,,1,1
71,7442201,600000.0,1,1
72,7487297,75000.0,1,1
73,7501034,3500000.0,1,1
74,7513108,400000.0,1,1
75,7621114,17796.0,1,1
76,7787492,21894.0,1,1
77,7868765,52900.0,1,1
78,8019088,2023773.5,38,4
79,8074399,480000.0,1,2
80,8163931,530000.0,1,1
81,8363200,24368.125,17,2
82,8405181,,1,1
83,8701278,36697.0,1,1
84,8729336,260000.0,1,1
85,9078481,99750.0,1,2
86,9360939,155990.0,1,1
87,9450657,57740.0,22,4
88,9491579,128500.0,1,1
89,9497919,,1,1
90,9578024,50042.857142857145,5,3
91,9633846,20000.0,1,1
92,9748713,,1,1
93,9889125,24900.0,1,1
94,9891422,,1,1
95,9921614,44200.0,3,2
96,9939715,518000.0,1,1
97,9956408,76950.0,1,1
98,10085518,177933.33333333334,3,1
99,10247077,734874.375,31,12
100,10496106,98697.72727272728,8,4
