,id,user_type,points,status,level_id,power_seller_status,canceled,completed,total,negative,neutral,positive,registration_years
0,182255617,normal,2,active,5_green,,1,71,72,0.0,1.0,0.0,7
1,537264136,normal,1,active,,,0,0,0,0.0,0.0,0.0,2
2,64651278,normal,522,active,5_green,silver,18,717,735,0.01,0.01,0.98,11
3,135233552,normal,437,active,5_green,platinum,168,3477,3645,0.01,0.04,0.95,9
4,521928721,normal,42,active,5_green,gold,32,1221,1253,0.13,0.03,0.84,2
5,171048984,normal,73,active,5_green,,5,110,115,0.01,0.0,0.99,7
6,534544411,normal,0,active,,,0,0,0,0.0,0.0,0.0,2
7,634847262,normal,107,active,5_green,gold,35,909,944,0.04,0.0,0.96,2
8,18382879,normal,1,active,,,0,4,4,0.0,1.0,0.0,15
9,578748448,normal,171,active,5_green,gold,216,3622,3838,0.07,0.07,0.86,2
10,50135073,normal,537,active,4_light_green,,5,43,48,0.09,0.02,0.89,14
11,549945381,normal,1960,active,5_green,platinum,873,14590,15463,0.08,0.04,0.88,2
12,262307882,normal,0,active,,,0,0,0,0.0,0.0,0.0,5
13,90308653,normal,16,active,,,0,0,0,0.0,0.0,0.0,16
14,126877745,normal,98,active,5_green,,4,192,196,0.0,0.0,1.0,10
15,9633846,normal,56,active,4_light_green,,5,5,10,0.0,0.0,1.0,20
16,155418681,normal,8951,active,5_green,platinum,1325,23527,24852,0.03,0.02,0.95,8
17,104300606,normal,624,active,5_green,gold,56,1994,2050,0.0,0.01,0.99,10
18,84672575,normal,138,active,5_green,,11,286,297,0.0,0.0,1.0,17
19,67862593,normal,729,active,4_light_green,,18,350,368,0.02,0.01,0.97,11
20,140017731,normal,51,active,5_green,silver,14,460,474,0.0,0.0,1.0,9
21,71303241,normal,1895,active,5_green,platinum,127,3350,3477,0.01,0.03,0.96,11
22,83198055,normal,105,active,5_green,gold,114,2728,2842,0.06,0.02,0.92,17
23,445251692,normal,19,active,5_green,,9,232,241,0.0,0.0,1.0,3
24,802521204,normal,0,active,,,0,0,0,0.0,0.0,0.0,0
25,688652408,normal,1,active,,,0,0,0,0.0,0.0,0.0,1
26,477724797,normal,114,active,5_green,gold,37,702,739,0.0,0.0,1.0,3
27,317653118,normal,914,active,5_green,gold,48,2228,2276,0.02,0.01,0.97,4
28,5472387,normal,72,active,,,0,1,1,1.0,0.0,0.0,12
29,610107524,normal,1,active,,,1,1,2,0.0,1.0,0.0,2
30,67436676,normal,0,active,,,0,0,0,0.0,0.0,0.0,11
31,396132495,normal,0,active,,,0,0,0,0.0,0.0,0.0,3
32,1179156630,normal,0,active,,,0,0,0,0.0,0.0,0.0,0
33,176226462,normal,217,active,5_green,,19,368,387,0.06,0.01,0.93,7
34,145096868,normal,3947,active,5_green,platinum,245,10006,10251,0.02,0.02,0.96,9
35,52297899,normal,400,active,5_green,platinum,125,3040,3165,0.01,0.02,0.97,14
36,440172719,normal,1895,active,5_green,gold,139,5305,5444,0.01,0.02,0.97,3
